tech,supply_chain,sub_sector,hs6,essential
Batteries,Midstream,Cobalt & Nickel Refining,283329,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,283329,FALSE
Batteries,Midstream,Cobalt & Nickel Refining,750120,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,750120,FALSE
Batteries,Midstream,Cobalt & Nickel Refining,750210,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,750300,FALSE
Batteries,Midstream,Cobalt & Nickel Refining,750400,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,810520,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,810530,TRUE
Batteries,Midstream,Cobalt & Nickel Refining,810530,FALSE
Batteries,Midstream,Current Collectors & Foils,260300,TRUE
Batteries,Midstream,Current Collectors & Foils,260600,TRUE
Batteries,Midstream,Current Collectors & Foils,281820,TRUE
Batteries,Midstream,Current Collectors & Foils,283322,TRUE
Batteries,Midstream,Current Collectors & Foils,741011,TRUE
Batteries,Midstream,Current Collectors & Foils,741012,TRUE
Batteries,Midstream,Current Collectors & Foils,741021,TRUE
Batteries,Midstream,Current Collectors & Foils,741022,TRUE
Batteries,Midstream,Current Collectors & Foils,760711,TRUE
Batteries,Midstream,Current Collectors & Foils,760719,TRUE
Batteries,Midstream,Electrolyte Materials,282739,TRUE
Batteries,Midstream,Electrolyte Materials,282739,FALSE
Batteries,Midstream,Electrolyte Materials,292090,TRUE
Batteries,Midstream,Electrolyte Materials,382499,TRUE
Batteries,Midstream,Electrolyte Materials,382499,FALSE
Batteries,Midstream,Lithium Chemicals,253090,TRUE
Batteries,Midstream,Lithium Chemicals,253090,FALSE
Batteries,Midstream,Lithium Chemicals,280519,TRUE
Batteries,Midstream,Lithium Chemicals,282520,TRUE
Batteries,Midstream,Lithium Chemicals,283691,TRUE
Batteries,Midstream,Separator Materials,390110,TRUE
Batteries,Midstream,Separator Materials,390120,TRUE
Batteries,Midstream,Separator Materials,390210,TRUE
Batteries,Midstream,Separator Materials,390469,TRUE
Batteries,Midstream,Separator Materials,390469,FALSE
Batteries,Midstream,Separator Materials,392010,TRUE
Batteries,Midstream,Separator Materials,392020,TRUE
Wind,Midstream,Array Cables & Collection Systems,281290,TRUE
Wind,Midstream,Array Cables & Collection Systems,440311,FALSE
Wind,Midstream,Array Cables & Collection Systems,440312,FALSE
Wind,Midstream,Array Cables & Collection Systems,440321,FALSE
Wind,Midstream,Array Cables & Collection Systems,440323,FALSE
Wind,Midstream,Array Cables & Collection Systems,440324,FALSE
Wind,Midstream,Array Cables & Collection Systems,440325,FALSE
Wind,Midstream,Array Cables & Collection Systems,681510,TRUE
Wind,Midstream,Array Cables & Collection Systems,731210,TRUE
Wind,Midstream,Array Cables & Collection Systems,740811,FALSE
Wind,Midstream,Array Cables & Collection Systems,740819,FALSE
Wind,Midstream,Array Cables & Collection Systems,741300,TRUE
Wind,Midstream,Array Cables & Collection Systems,761410,TRUE
Wind,Midstream,Array Cables & Collection Systems,761490,TRUE
Wind,Midstream,Array Cables & Collection Systems,853210,TRUE
Wind,Midstream,Array Cables & Collection Systems,854420,TRUE
Wind,Midstream,Array Cables & Collection Systems,854442,TRUE
Wind,Midstream,Array Cables & Collection Systems,854449,TRUE
Wind,Midstream,Array Cables & Collection Systems,854460,TRUE
Wind,Midstream,Array Cables & Collection Systems,854470,FALSE
Wind,Midstream,Array Cables & Collection Systems,854610,FALSE
Wind,Midstream,Array Cables & Collection Systems,854620,TRUE
Wind,Midstream,Nacelles & Drivetrains,848340,TRUE
Wind,Midstream,Offshore Substructures,730511,TRUE
Wind,Midstream,Permanent Magnets & Magnet Parts,850511,TRUE
Wind,Midstream,Permanent Magnets & Magnet Parts,850519,TRUE
Wind,Midstream,Permanent Magnets & Magnet Parts,850590,FALSE
Wind,Midstream,Rare Earth Separation & Compounds,280530,TRUE
Wind,Midstream,Rare Earth Separation & Compounds,284690,TRUE
Wind,Midstream,Wind Blades,841290,TRUE
Wind,Midstream,Wind Foundations,681091,TRUE
Wind,Midstream,Wind Foundations,681099,TRUE
Wind,Midstream,Wind Foundations,730840,FALSE
Wind,Midstream,Wind Foundations,730890,TRUE
Wind,Midstream,Wind Substations,850421,TRUE
Wind,Midstream,Wind Substations,850422,TRUE
Wind,Midstream,Wind Substations,850423,TRUE
Wind,Midstream,Wind Substations,850431,TRUE
Wind,Midstream,Wind Substations,850432,TRUE
Wind,Midstream,Wind Substations,850433,TRUE
Wind,Midstream,Wind Substations,850434,TRUE
Wind,Midstream,Wind Substations,850490,TRUE
Wind,Midstream,Wind Substations,853510,TRUE
Wind,Midstream,Wind Substations,853521,TRUE
Wind,Midstream,Wind Substations,853529,TRUE
Wind,Midstream,Wind Substations,853530,TRUE
Wind,Midstream,Wind Substations,853540,TRUE
Wind,Midstream,Wind Substations,853590,TRUE
Wind,Midstream,Wind Substations,853710,TRUE
Wind,Midstream,Wind Substations,853720,TRUE
Wind,Midstream,Wind Substations,902830,FALSE
Wind,Midstream,Wind Substations,902890,FALSE
Wind,Midstream,Wind Towers,730820,TRUE
Wind,Midstream,Wind Turbines & Generators,850164,TRUE
Wind,Midstream,Wind Turbines & Generators,850231,TRUE
Wind,Midstream,Wind Turbines & Generators,850300,TRUE
Oil,Upstream,Crude Oils,270900,TRUE
Oil,Upstream,Fuel Oils: Heavy Oils,271019,TRUE
Oil,Upstream,Fuel Oils: Light Oils,271012,TRUE
Oil,Upstream,Petroleum Solids,271311,TRUE
Oil,Upstream,Petroleum Solids,271312,TRUE
Oil,Upstream,Petroleum Solids,271320,TRUE
Oil,Upstream,Petroleum Solids,271390,TRUE
Oil,Upstream,Waste Oils,271091,TRUE
Oil,Upstream,Waste Oils,271099,TRUE
Oil,Midstream,Drilling & Field Equipment,820713,TRUE
Oil,Midstream,Drilling & Field Equipment,820719,TRUE
Oil,Midstream,Drilling & Field Equipment,843041,TRUE
Oil,Midstream,Drilling & Field Equipment,843049,TRUE
Oil,Midstream,Drilling & Field Equipment,843139,TRUE
Oil,Midstream,Drilling & Field Equipment,843143,TRUE
Oil,Midstream,Drilling & Field Equipment,843149,TRUE
Oil,Midstream,Drilling & Field Equipment,870520,TRUE
Oil,Midstream,Drilling & Field Equipment,890520,TRUE
Oil,Midstream,Drilling & Field Equipment,890590,TRUE
Oil,Midstream,Metering Equipment,902810,TRUE
Oil,Midstream,Pipelines,730411,FALSE
Oil,Midstream,Pipelines,730419,FALSE
Oil,Midstream,Pipelines,730422,FALSE
Oil,Midstream,Pipelines,730423,FALSE
Oil,Midstream,Pipelines,730424,FALSE
Oil,Midstream,Pipelines,730429,FALSE
Oil,Midstream,Pipelines,730511,FALSE
Oil,Midstream,Pipelines,730512,FALSE
Oil,Midstream,Pipelines,730519,FALSE
Oil,Midstream,Pipelines,730520,FALSE
Oil,Midstream,Pipelines,730611,FALSE
Oil,Midstream,Pipelines,730619,FALSE
Oil,Midstream,Pipelines,730621,FALSE
Oil,Midstream,Pipelines,730629,FALSE
Oil,Midstream,Prime Movers & Generator Sets,850131,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850132,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850133,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850134,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850161,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850162,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850163,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850164,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850211,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850212,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850213,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850220,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850239,TRUE
Oil,Midstream,Prime Movers & Generator Sets,850300,TRUE
Oil,Midstream,Processing & Separation Equipment,841960,TRUE
Oil,Midstream,Processing & Separation Equipment,842129,TRUE
Oil,Midstream,Processing & Separation Equipment,842890,TRUE
Oil,Midstream,Processing & Separation Equipment,847410,TRUE
Oil,Midstream,Processing & Separation Equipment,847420,TRUE
Oil,Midstream,Processing & Separation Equipment,847490,FALSE
Oil,Midstream,Processing & Separation Equipment,847982,TRUE
Oil,Midstream,Processing & Separation Equipment,847989,TRUE
Oil,Midstream,Pumps & Compressors,841350,TRUE
Oil,Midstream,Pumps & Compressors,841360,TRUE
Oil,Midstream,Pumps & Compressors,841382,TRUE
Oil,Midstream,Pumps & Compressors,841392,TRUE
Oil,Midstream,Storage & Transport Equipment,731100,FALSE
Oil,Midstream,Storage & Transport Equipment,890120,TRUE
