"tech","supply_chain","n_countries","rho","n_moved_gt3","max_move","step","from","to"
"Wind","Midstream",75,0.998947368421052,1,6,"Task 6 m_scope firm_first","v5","v6"
"Wind","Upstream",59,0.994967817437098,1,7,"Task 6 m_scope firm_first","v5","v6"
"Batteries","Midstream",74,0.999614957423176,0,2,"Task 9 crosscutting report_only","v6","v9"
"Batteries","Upstream",0,NA,NA,NA,"Task 9 crosscutting report_only","v6","v9"
"Coal","Midstream",69,0.997369382535623,3,6,"Task 9 crosscutting report_only","v6","v9"
"Coal","Upstream",63,0.993423579109063,4,10,"Task 9 crosscutting report_only","v6","v9"
"Cross-cutting","Cross-cutting",0,NA,NA,NA,"Task 9 crosscutting report_only","v6","v9"
"Electric Grid","Midstream",75,0.999573257467994,0,3,"Task 9 crosscutting report_only","v6","v9"
"Electric Grid","Upstream",67,0.998643147896879,2,4,"Task 9 crosscutting report_only","v6","v9"
"Electric Vehicles","Midstream",76,0.999726589200273,0,2,"Task 9 crosscutting report_only","v6","v9"
"Electric Vehicles","Upstream",0,NA,NA,NA,"Task 9 crosscutting report_only","v6","v9"
"Gas","Midstream",74,0.999081821547575,1,6,"Task 9 crosscutting report_only","v6","v9"
"Gas","Upstream",68,0.997175249074321,2,6,"Task 9 crosscutting report_only","v6","v9"
"Nuclear","Midstream",69,0.998575082206796,1,6,"Task 9 crosscutting report_only","v6","v9"
"Nuclear","Upstream",0,NA,NA,NA,"Task 9 crosscutting report_only","v6","v9"
"Oil","Midstream",74,0.999674194742688,0,2,"Task 9 crosscutting report_only","v6","v9"
"Oil","Upstream",72,0.996205543764872,5,8,"Task 9 crosscutting report_only","v6","v9"
"Semiconductors","Midstream",71,0.99906103286385,2,4,"Task 9 crosscutting report_only","v6","v9"
"Semiconductors","Upstream",0,NA,NA,NA,"Task 9 crosscutting report_only","v6","v9"
"Solar","Midstream",76,0.999425837320574,0,2,"Task 9 crosscutting report_only","v6","v9"
"Solar","Upstream",0,NA,NA,NA,"Task 9 crosscutting report_only","v6","v9"
"Wind","Midstream",75,0.999487908961593,1,4,"Task 9 crosscutting report_only","v6","v9"
"Wind","Upstream",0,NA,NA,NA,"Task 9 crosscutting report_only","v6","v9"
"Batteries","Midstream",74,0.971151425398001,26,26,"CUMULATIVE legacy -> new default","v0","v9"
"Batteries","Upstream",0,NA,NA,NA,"CUMULATIVE legacy -> new default","v0","v9"
"Coal","Midstream",69,0.968286445012788,20,22,"CUMULATIVE legacy -> new default","v0","v9"
"Coal","Upstream",63,0.895257296466974,23,31,"CUMULATIVE legacy -> new default","v0","v9"
"Cross-cutting","Cross-cutting",0,NA,NA,NA,"CUMULATIVE legacy -> new default","v0","v9"
"Electric Grid","Midstream",75,0.969189189189189,26,22,"CUMULATIVE legacy -> new default","v0","v9"
"Electric Grid","Upstream",67,0.980964163141512,20,14,"CUMULATIVE legacy -> new default","v0","v9"
"Electric Vehicles","Midstream",76,0.95177033492823,29,22,"CUMULATIVE legacy -> new default","v0","v9"
"Electric Vehicles","Upstream",0,NA,NA,NA,"CUMULATIVE legacy -> new default","v0","v9"
"Gas","Midstream",74,0.992062199185487,8,13,"CUMULATIVE legacy -> new default","v0","v9"
"Gas","Upstream",68,0.949383517196625,29,23,"CUMULATIVE legacy -> new default","v0","v9"
"Nuclear","Midstream",69,0.974570697844355,19,20,"CUMULATIVE legacy -> new default","v0","v9"
"Nuclear","Upstream",0,NA,NA,NA,"CUMULATIVE legacy -> new default","v0","v9"
"Oil","Midstream",74,0.981281007034432,17,16,"CUMULATIVE legacy -> new default","v0","v9"
"Oil","Upstream",72,0.856485947649367,41,43,"CUMULATIVE legacy -> new default","v0","v9"
"Semiconductors","Midstream",71,0.963648558014755,23,23,"CUMULATIVE legacy -> new default","v0","v9"
"Semiconductors","Upstream",0,NA,NA,NA,"CUMULATIVE legacy -> new default","v0","v9"
"Solar","Midstream",76,0.968612440191388,29,25,"CUMULATIVE legacy -> new default","v0","v9"
"Solar","Upstream",0,NA,NA,NA,"CUMULATIVE legacy -> new default","v0","v9"
"Wind","Midstream",75,0.969615931721195,27,21,"CUMULATIVE legacy -> new default","v0","v9"
"Wind","Upstream",0,NA,NA,NA,"CUMULATIVE legacy -> new default","v0","v9"
