"group","term","hits","hit_rate","flagged","dict"
"Gas","\blng\b",71,0.00128457961679724,FALSE,"tech"
"Electric Vehicles","\belectric vehicle\b",68,0.00123030160481989,FALSE,"tech"
"Midstream","\bfactory\b",68,0.00123030160481989,FALSE,"supply_chain"
"Electric Grid","\btransmission\b",67,0.00121220893416077,FALSE,"tech"
"Downstream","\bmaintenance\b",64,0.00115793092218342,FALSE,"supply_chain"
"Midstream","\bassembly\b",61,0.00110365291020608,FALSE,"supply_chain"
"Batteries","\blithium-ion\b",53,0.000958911544933148,FALSE,"tech"
"Semiconductors","\bchip\b",52,0.000940818874274032,FALSE,"tech"
"Downstream","\binstall\w*",52,0.000940818874274032,FALSE,"supply_chain"
"Downstream","\bcloud\b",50,0.0009046335329558,FALSE,"supply_chain"
"Oil","\brefining\b",48,0.000868448191637568,FALSE,"tech"
"Upstream","\bore\b",47,0.000850355520978452,FALSE,"supply_chain"
"Wind","\bturbine\b",45,0.00081417017966022,FALSE,"tech"
"Batteries","\benergy storage\b",44,0.000796077509001104,FALSE,"tech"
"Solar","\bpanel\b",41,0.000741799497023756,FALSE,"tech"
"Upstream","\bexploration\b",41,0.000741799497023756,FALSE,"supply_chain"
"Electric Vehicles","\bbattery electric\b",35,0.00063324347306906,FALSE,"tech"
"Midstream","\bfabricat\w*",34,0.000615150802409944,FALSE,"supply_chain"
"Batteries","\bgigafactory\b",33,0.000597058131750828,FALSE,"tech"
"Midstream","\bgigafactory\b",33,0.000597058131750828,FALSE,"supply_chain"
"Geothermal","\bgeothermal\b",31,0.000560872790432596,FALSE,"tech"
"Wind","\bonshore wind\b",29,0.000524687449114364,FALSE,"tech"
"Downstream","\bdownstream\b",29,0.000524687449114364,FALSE,"supply_chain"
"Upstream","\bmine\b",28,0.000506594778455248,FALSE,"supply_chain"
"Semiconductors","\bfabrication\b",27,0.000488502107796132,FALSE,"tech"
"Upstream","\bsmelt\w*",27,0.000488502107796132,FALSE,"supply_chain"
"Magnets","\brare-earth\b",25,0.0004523167664779,FALSE,"tech"
"Oil","\brefinery\b",24,0.000434224095818784,FALSE,"tech"
"Semiconductors","\bdata center\b",23,0.000416131425159668,FALSE,"tech"
"Downstream","\bdata center\b",23,0.000416131425159668,FALSE,"supply_chain"
"Electric Vehicles","\bcharging\b",22,0.000398038754500552,FALSE,"tech"
"Batteries","\bcathode\b",22,0.000398038754500552,FALSE,"tech"
"Green Hydrogen","\bgreen hydrogen\b",22,0.000398038754500552,FALSE,"tech"
"Midstream","\bcathode\b",22,0.000398038754500552,FALSE,"supply_chain"
"Midstream","\bconversion\b",22,0.000398038754500552,FALSE,"supply_chain"
"Downstream","\bconsumer\b",20,0.00036185341318232,FALSE,"supply_chain"
"Nuclear","\bsmr\b",19,0.000343760742523204,FALSE,"tech"
"Nuclear","\buranium\b",18,0.000325668071864088,FALSE,"tech"
"Solar","\bwafer\b",17,0.000307575401204972,FALSE,"tech"
"Semiconductors","\bwafer\b",17,0.000307575401204972,FALSE,"tech"
"Midstream","\bwafer\b",17,0.000307575401204972,FALSE,"supply_chain"
"Magnets","\bmagnets\b",16,0.000289482730545856,FALSE,"tech"
"Green Hydrogen","\bammonia\b",15,0.00027139005988674,FALSE,"tech"
"Electric Grid","\binterconnector\b",15,0.00027139005988674,FALSE,"tech"
"Magnets","\bmagnet\b",15,0.00027139005988674,FALSE,"tech"
"Midstream","\bfabs?\b",15,0.00027139005988674,FALSE,"supply_chain"
"Downstream","\bretail\b",14,0.000253297389227624,FALSE,"supply_chain"
"Batteries","\banode\b",13,0.000235204718568508,FALSE,"tech"
"Electric Grid","\binterconnection\b",13,0.000235204718568508,FALSE,"tech"
"Upstream","\bextraction\b",13,0.000235204718568508,FALSE,"supply_chain"
"Midstream","\banode\b",13,0.000235204718568508,FALSE,"supply_chain"
"Downstream","\binterconnection\b",13,0.000235204718568508,FALSE,"supply_chain"
"Electric Vehicles","\bevs\b",12,0.000217112047909392,FALSE,"tech"
"Batteries","\bcell manufacturing\b",12,0.000217112047909392,FALSE,"tech"
"Solar","\bpolysilicon\b",12,0.000217112047909392,FALSE,"tech"
"Upstream","\bcritical mineral\b",12,0.000217112047909392,FALSE,"supply_chain"
"Green Hydrogen","\belectrolyser\b",10,0.00018092670659116,FALSE,"tech"
"Green Hydrogen","\belectrolysis\b",10,0.00018092670659116,FALSE,"tech"
"Electric Grid","\bhvdc\b",10,0.00018092670659116,FALSE,"tech"
"Semiconductors","\bfab\b",10,0.00018092670659116,FALSE,"tech"
"Upstream","\bmetallurg\w*",10,0.00018092670659116,FALSE,"supply_chain"
"Coal","\bcoking coal\b",9,0.000162834035932044,FALSE,"tech"
"Gas","\bliquefaction\b",9,0.000162834035932044,FALSE,"tech"
"Semiconductors","\bfoundry\b",9,0.000162834035932044,FALSE,"tech"
